epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,755.767,0.69351,0.71507,0.84826,0.96755,0.95055,0.98348,0.6896,1.07438,0.89845,0.86922,0.000148625,0.000148625,0.000148625
91,765.237,0.81223,0.96798,0.86311,0.9677,0.95211,0.97991,0.68272,1.07313,0.89537,0.86926,0.00013625,0.00013625,0.00013625
92,774.256,0.83213,0.92146,0.88843,0.96121,0.95662,0.97991,0.70088,1.08109,0.89451,0.86737,0.000123875,0.000123875,0.000123875
93,783.698,0.83556,0.88465,0.88796,0.96121,0.95662,0.97991,0.70088,1.08109,0.89451,0.86737,0.0001115,0.0001115,0.0001115
94,792.886,0.83096,0.92192,0.86418,0.95691,0.95896,0.97686,0.69578,1.08535,0.90124,0.86662,9.9125e-05,9.9125e-05,9.9125e-05
95,802.142,0.84065,1.01934,0.85906,0.95481,0.95992,0.9738,0.69372,1.08356,0.9069,0.86665,8.675e-05,8.675e-05,8.675e-05
96,811.842,0.77548,0.90156,0.83613,0.95238,0.96232,0.97075,0.67936,1.08585,0.91478,0.86652,7.4375e-05,7.4375e-05,7.4375e-05
97,820.837,0.78507,0.90782,0.84289,0.95238,0.96232,0.97075,0.67936,1.08585,0.91478,0.86652,6.2e-05,6.2e-05,6.2e-05
98,828.82,0.89743,1.35933,0.84428,0.95209,0.96291,0.97075,0.6801,1.08162,0.91385,0.86645,4.9625e-05,4.9625e-05,4.9625e-05
99,837.057,0.92377,1.12038,0.87324,0.95117,0.96376,0.9738,0.6768,1.07776,0.91043,0.86722,3.725e-05,3.725e-05,3.725e-05
100,845.756,0.84685,0.95115,0.90163,0.94924,0.9663,0.979,0.68182,1.07548,0.90931,0.86759,2.4875e-05,2.4875e-05,2.4875e-05
